Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C2838	'checkGlError': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	231		
Error	C2838	'blit': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	180		
Error	C2838	'canHarvestBlock': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemPickaxe.cpp	16		
Error	C2838	'canHarvestBlock': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemSpade.cpp	14		
Error	C2838	'frameTimePos': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	45		
Error	C2838	'frameTimes': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	43		
Error	C2838	'gatherStats1': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1120		
Error	C2838	'gatherStats2': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1125		
Error	C2838	'gatherStats3': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1135		
Error	C2838	'gatherStats4': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1130		
Error	C2838	'generateFlyby': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	276		
Error	C2838	'getResource': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\tile\OreTile.cpp	15		
Error	C2838	'getWorkingDirectory': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	193		
Error	C2838	'grabMouse': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	624		
Error	C2838	'handleGrabTexture': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	777		
Error	C2838	'handleMouseClick': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	672		
Error	C2838	'handleMouseDown': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	651		
Error	C2838	'init': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	64		
Error	C2838	'isOnline': illegal qualified name in member declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	975		
Error	C3769	'Item': a nested class cannot have the same name as the immediately enclosing class	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemStack.h	5		
Error	C3769	'Item': a nested class cannot have the same name as the immediately enclosing class	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemStack.h	5		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C2504	'Item': base class undefined	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemTool.h	11		
Error	C3254	'Item': class contains explicit override 'blit' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	180		
Error	C3254	'Item': class contains explicit override 'canHarvestBlock' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemPickaxe.cpp	16		
Error	C3254	'Item': class contains explicit override 'canHarvestBlock' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\ItemSpade.cpp	14		
Error	C3254	'Item': class contains explicit override 'checkGlError' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	231		
Error	C3254	'Item': class contains explicit override 'gatherStats1' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1120		
Error	C3254	'Item': class contains explicit override 'gatherStats2' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1125		
Error	C3254	'Item': class contains explicit override 'gatherStats3' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1135		
Error	C3254	'Item': class contains explicit override 'gatherStats4' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	1130		
Error	C3254	'Item': class contains explicit override 'generateFlyby' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\client\Minecraft.cpp	276		
Error	C3254	'Item': class contains explicit override 'getResource' but does not derive from an interface that contains the function declaration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\tile\OreTile.cpp	15		
