Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C2027	use of undefined type 'ChestTile'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	10		
Error	C2665	'Recipes::addShapedRecipy': no overloaded function could convert all the argument types	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	10		
Error	C2665	'Recipes::addShapedRecipy': no overloaded function could convert all the argument types	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	13		
Error	C2665	'Recipes::addShapedRecipy': no overloaded function could convert all the argument types	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	16		
Error	C2440	'static_cast': cannot convert from 'CobblestoneTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\ToolRecipies.cpp	27		
Error	C2440	'static_cast': cannot convert from 'CobblestoneTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\WeaponRecipies.cpp	18		
Error	C2440	'static_cast': cannot convert from 'CobblestoneTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	13		
Error	C2440	'static_cast': cannot convert from 'FireTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\ArmorRecipes.cpp	69		
Error	C2440	'static_cast': cannot convert from 'MetalTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\OreRecipies.cpp	12		
Error	C2440	'static_cast': cannot convert from 'MetalTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\OreRecipies.cpp	13		
Error	C2440	'static_cast': cannot convert from 'MetalTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\OreRecipies.cpp	14		
Error	C2440	'static_cast': cannot convert from 'MushroomTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\FoodRecipies.cpp	11		
Error	C2440	'static_cast': cannot convert from 'MushroomTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\FoodRecipies.cpp	11		
Error	C2440	'static_cast': cannot convert from 'MushroomTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\FoodRecipies.cpp	12		
Error	C2440	'static_cast': cannot convert from 'MushroomTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\FoodRecipies.cpp	12		
Error	C2440	'static_cast': cannot convert from 'WoodTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\ToolRecipies.cpp	26		
Error	C2440	'static_cast': cannot convert from 'WoodTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\WeaponRecipies.cpp	17		
Error	C2440	'static_cast': cannot convert from 'WoodTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	10		
Error	C2440	'static_cast': cannot convert from 'WoodTile *' to 'Tile *'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	16		
Error	C2535	'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)': member function already defined or declared	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.h	55		
Error	C2535	'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)': member function already defined or declared	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.h	55		
Error	C2535	'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)': member function already defined or declared	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.h	55		
Error	C2535	'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)': member function already defined or declared	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.h	55		
Error	C2535	'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)': member function already defined or declared	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.h	55		
Error	C2535	'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)': member function already defined or declared	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.h	55		
Error	C2535	'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)': member function already defined or declared	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.h	55		
Error	C2084	function 'void Recipes::addShapedRecipy(const ItemStack &,const std::vector<const char *,std::allocator<const char *>> &,char,Tile *,char,Tile *,char,Item *)' already has a body	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\Recipes.cpp	299		
Error	C2027	use of undefined type 'FurnaceTile'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	13		
Error	C2027	use of undefined type 'WorkbenchTile'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\item\crafting\StructureRecipies.cpp	16		
