Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C2664	'bool MobCategoryHelper::isFriendly(MobCategory)': cannot convert argument 1 from '<error type>' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	96		
Error	C2664	'bool MobCategoryHelper::isFriendly(MobCategory)': cannot convert argument 1 from '<error type>' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	95		
Error	C2664	'bool MobSpawner::isSpawnPositionOk(MobCategory,Level &,int_t,int_t,int_t)': cannot convert argument 1 from '<error type>' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	135		
Error	C2079	'categories' uses undefined class 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	92		
Error	C2079	'category' uses undefined class 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	93		
Error	C2664	'const Material &MobCategoryHelper::getSpawnPositionMaterial(MobCategory)': cannot convert argument 1 from '<error type>' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	118		
Error	C2664	'const Material &MobCategoryHelper::getSpawnPositionMaterial(MobCategory)': cannot convert argument 1 from 'MobCategory' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	37		
Error	C2664	'const std::vector<BiomeMobs::EntityFactory,std::allocator<BiomeMobs::EntityFactory>> &BiomeMobs::getMobs(MobCategory)': cannot convert argument 1 from '<error type>' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	109		
Error	C2065	'creature': undeclared identifier	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1961		
Error	C2065	'creature': undeclared identifier	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	92		
Error	C2664	'int_t Level::countInstanceOf(MobCategory) const': cannot convert argument 1 from '<error type>' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	97		
Error	C2664	'int_t MobCategoryHelper::getMaxInstancesPerChunk(MobCategory)': cannot convert argument 1 from '<error type>' to 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	97		
Error	C2011	'MobCategory': 'class' type redefinition	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.h	36		
Error	C2011	'MobCategory': 'class' type redefinition	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\MobCategory.h	13		
Error	C2011	'MobCategory': 'enum' type redefinition	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.h	7		
Error	C3431	'MobCategory': a scoped enumeration cannot be redeclared as an unscoped enumeration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.h	7		
Error	C3431	'MobCategory': an unscoped enumeration cannot be redeclared as a scoped enumeration	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.h	36		
Error	C2065	'monster': undeclared identifier	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1959		
Error	C2065	'monster': undeclared identifier	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	92		
Error	C2065	'waterCreature': undeclared identifier	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1963		
Error	C2065	'waterCreature': undeclared identifier	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	92		
Error	C2679	binary '==': no operator found which takes a right-hand operand of type 'LiquidMaterial' (or there is no acceptable conversion)	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	38		
Error	C2088	built-in operator '==' cannot be applied to an operand of type 'const Material'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	118		
Error	C2051	case expression not constant	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1959		
Error	C2051	case expression not constant	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1961		
Error	C2051	case expression not constant	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1963		
Error	C3312	no callable 'begin' function found for type '<error type>'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	93		
Error	C3312	no callable 'end' function found for type '<error type>'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	93		
Error	C2143	syntax error: missing ';' before ')'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	93		
Error	C2143	syntax error: missing ';' before ':'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	93		
Error	C2027	use of undefined type 'ClothTile'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\animal\Sheep.cpp	34		
Error	C2027	use of undefined type 'GrassTile'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\animal\Animal.cpp	14		
Error	C2027	use of undefined type 'GrassTile'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\animal\Animal.cpp	32		
Error	C2027	use of undefined type 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1959		
Error	C2027	use of undefined type 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1961		
Error	C2027	use of undefined type 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Level.cpp	1963		
Error	C2027	use of undefined type 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	35		
Error	C2027	use of undefined type 'MobCategory'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\MobSpawner.cpp	92		
