Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C3668	'Arrow::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	33		
Error	C2512	'AABB': no appropriate default constructor available	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.cpp	137		
Error	C2512	'AABB': no appropriate default constructor available	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Snowball.cpp	144		
Error	C2512	'AABB': no appropriate default constructor available	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Fireball.cpp	103		
Error	C3668	'Arrow::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	33		
Error	C3668	'Arrow::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	33		
Error	C3668	'Arrow::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	33		
Error	C3668	'Arrow::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	33		
Error	C3668	'Arrow::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	52		
Error	C3668	'Arrow::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	52		
Error	C3668	'Arrow::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	52		
Error	C3668	'Arrow::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	52		
Error	C3668	'Arrow::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	52		
Error	C3668	'Arrow::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	39		
Error	C3668	'Arrow::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	39		
Error	C3668	'Arrow::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	39		
Error	C3668	'Arrow::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	39		
Error	C3668	'Arrow::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Arrow.h	39		
Error	C3668	'Boat::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	35		
Error	C3668	'Boat::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	35		
Error	C3668	'Boat::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	35		
Error	C3668	'Boat::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	35		
Error	C3668	'Boat::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	63		
Error	C3668	'Boat::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	63		
Error	C3668	'Boat::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	63		
Error	C3668	'Boat::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	63		
Error	C3668	'Boat::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	52		
Error	C3668	'Boat::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	52		
Error	C3668	'Boat::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	52		
Error	C3668	'Boat::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	52		
Error	C3668	'Boat::positionRider': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	56		
Error	C3668	'Boat::positionRider': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	56		
Error	C3668	'Boat::positionRider': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	56		
Error	C3668	'Boat::positionRider': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.h	56		
Error	C3668	'Creeper::die': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Creeper.h	43		
Error	C3668	'Creeper::die': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Creeper.h	43		
Error	C3668	'Creeper::die': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Creeper.h	43		
Error	C3668	'Creeper::die': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Creeper.h	43		
Error	C3668	'FallingTile::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	21		
Error	C3668	'FallingTile::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	21		
Error	C3668	'FallingTile::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	21		
Error	C3668	'FallingTile::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	21		
Error	C3668	'FallingTile::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	34		
Error	C3668	'FallingTile::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	34		
Error	C3668	'FallingTile::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	34		
Error	C3668	'FallingTile::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\FallingTile.h	34		
Error	C3668	'Fireball::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Fireball.h	36		
Error	C3668	'Fireball::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Fireball.h	36		
Error	C3668	'Fireball::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Fireball.h	58		
Error	C3668	'Fireball::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Fireball.h	58		
Error	C3668	'Ghast::checkHurtTarget': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Ghast.h	39		
Error	C3668	'Ghast::checkHurtTarget': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Ghast.h	39		
Error	C3668	'Ghast::checkHurtTarget': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Ghast.h	39		
Error	C3668	'Ghast::checkHurtTarget': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Ghast.h	39		
Error	C2440	'initializing': cannot convert from 'AABB *' to 'AABB'	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Boat.cpp	147		
Error	C2660	'Level::setTile': function does not take 3 arguments	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\level\Explosion.cpp	111		
Error	C3668	'Minecart::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	70		
Error	C3668	'Minecart::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	70		
Error	C3668	'Minecart::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	70		
Error	C3668	'Minecart::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	70		
Error	C3668	'Minecart::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	100		
Error	C3668	'Minecart::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	100		
Error	C3668	'Minecart::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	100		
Error	C3668	'Minecart::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	100		
Error	C3668	'Minecart::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	121		
Error	C3668	'Minecart::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	121		
Error	C3668	'Minecart::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	121		
Error	C3668	'Minecart::lerpMotion': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	121		
Error	C3668	'Minecart::push': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	103		
Error	C3668	'Minecart::push': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	103		
Error	C3668	'Minecart::push': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	103		
Error	C3668	'Minecart::push': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	103		
Error	C3668	'Minecart::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	86		
Error	C3668	'Minecart::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	86		
Error	C3668	'Minecart::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	86		
Error	C3668	'Minecart::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\item\Minecart.h	86		
Error	C3668	'Painting::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\Painting.h	58		
Error	C3668	'Painting::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\Painting.h	58		
Error	C3668	'Painting::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\Painting.h	58		
Error	C3668	'Painting::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\Painting.h	58		
Error	C3668	'PrimedTnt::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	20		
Error	C3668	'PrimedTnt::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	20		
Error	C3668	'PrimedTnt::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	20		
Error	C3668	'PrimedTnt::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	20		
Error	C3668	'PrimedTnt::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	36		
Error	C3668	'PrimedTnt::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	36		
Error	C3668	'PrimedTnt::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	36		
Error	C3668	'PrimedTnt::getShadowHeightOffs': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\PrimedTnt.h	36		
Error	C3668	'Slime::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Slime.h	36		
Error	C3668	'Slime::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Slime.h	36		
Error	C3668	'Slime::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Slime.h	36		
Error	C3668	'Slime::remove': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\monster\Slime.h	36		
Error	C3668	'Snowball::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Snowball.h	35		
Error	C3668	'Snowball::defineSynchedData': method with override specifier 'override' did not override any base class methods	Alpha126Cpp	D:\stupid shit\a126cpp\a126cpp\src\world\entity\projectile\Snowball.h	35		
